status,path,snapshot_match,old,new
M,package-lock.json,not_in_repomix,d4c729f,e38217a
M,package.json,dirty_intermediate,5628c1d,b6c575a
A,reports/goal-execution/final-verification.txt,not_in_repomix,0000000,eda72e2
A,reports/goal-execution/manual-qa.md,not_in_repomix,0000000,b8af3e7
A,reports/goal-execution/triage-initial.txt,not_in_repomix,0000000,7c0a144
A,reports/goal-execution/triage-resolution.md,not_in_repomix,0000000,210c523
A,reports/levels/difficulty.csv,not_in_repomix,0000000,17a3589
A,reports/levels/difficulty.json,not_in_repomix,0000000,768d0db
A,reports/levels/difficulty.md,not_in_repomix,0000000,d7d8899
A,reports/levels/solutions.json,not_in_repomix,0000000,2071d69
A,reports/levels/solutions.md,not_in_repomix,0000000,dc94172
A,reports/levels/validation.json,not_in_repomix,0000000,1729ab3
D,scripts/gen_levels.cjs,dirty_intermediate,4c1f11b,0000000
A,scripts/levels/analyzer.ts,not_in_repomix,0000000,75c2d6a
A,scripts/levels/catalog.ts,not_in_repomix,0000000,79b48a4
A,scripts/levels/cli/generate.ts,not_in_repomix,0000000,f4e74f8
A,scripts/levels/cli/report.ts,not_in_repomix,0000000,8f6d66a
A,scripts/levels/cli/solve.ts,not_in_repomix,0000000,1ae7c00
A,scripts/levels/cli/validate.ts,not_in_repomix,0000000,9526cdd
A,scripts/levels/domain.ts,not_in_repomix,0000000,badecbc
A,scripts/levels/generate.ts,not_in_repomix,0000000,3d15eb5
A,scripts/levels/report.ts,not_in_repomix,0000000,df38e62
A,scripts/levels/reports.ts,not_in_repomix,0000000,99daee2
A,scripts/levels/solver.ts,not_in_repomix,0000000,d3fdc24
A,scripts/levels/validator.ts,not_in_repomix,0000000,94fa7bc
M,scripts/task8-viewport-audit.mjs,dirty_intermediate,660a1e9,c8da97d
M,src/app/App.tsx,dirty_intermediate,b09328c,12f8e2f
M,src/components/background/CountrysideBackdrop.tsx,matches_commit,5ce18a3,a2e2e5d
A,src/components/background/countrysideBackdrop.css,matches_commit,0000000,d1f9186
M,src/features/tribe-out/TribeOutBoard.tsx,dirty_intermediate,c93f8a0,72e1319
M,src/features/tribe-out/TribeOutEntity.tsx,dirty_intermediate,c1e2ec6,47383ad
M,src/features/tribe-out/TribeOutGame.tsx,dirty_intermediate,03e0f7d,528b71e
M,src/features/tribe-out/TribeOutHUD.tsx,dirty_intermediate,f747a5c,0a26e74
M,src/features/tribe-out/TribeOutOverlay.tsx,dirty_intermediate,2ab8204,d783f98
M,src/features/tribe-out/assets/GameSprite.tsx,matches_commit,b5f468f,15f98fa
M,src/features/tribe-out/gameLogic.test.ts,dirty_intermediate,087d6e1,87c908d
M,src/features/tribe-out/gameLogic.ts,dirty_intermediate,0e10465,c75fe61
A,src/features/tribe-out/isometric.ts,matches_commit,0000000,2df4003
M,src/features/tribe-out/levels.ts,dirty_intermediate,60b0ef0,1800b3e
A,src/features/tribe-out/pixi/IsometricBoardBackdrop.tsx,matches_commit,0000000,89c041a
A,src/features/tribe-out/puzzle/engine.ts,not_in_repomix,0000000,7fd98d1
A,src/features/tribe-out/puzzle/geometry.ts,not_in_repomix,0000000,4e90f98
A,src/features/tribe-out/puzzle/index.ts,not_in_repomix,0000000,24823ac
A,src/features/tribe-out/puzzle/occupancy.ts,not_in_repomix,0000000,cacc345
A,src/features/tribe-out/puzzle/selectors.ts,not_in_repomix,0000000,2c34aa2
A,src/features/tribe-out/puzzle/serialization.ts,not_in_repomix,0000000,6634e5a
A,src/features/tribe-out/puzzle/types.ts,not_in_repomix,0000000,3a86ae3
M,src/features/tribe-out/screens/Dashboard.tsx,matches_parent,f2a0d5a,83db795
M,src/features/tribe-out/tribeOut.css,dirty_intermediate,f4c0736,81c944b
M,src/features/tribe-out/tribeOutStorage.test.ts,dirty_intermediate,edea0d1,aa3b5f9
M,src/features/tribe-out/tribeOutStorage.ts,dirty_intermediate,c05679b,a728124
M,src/features/tribe-out/types.ts,dirty_intermediate,6c9aee9,28a385f
M,src/styles/globals.css,matches_commit,e190cf4,41b6f16
A,tsconfig.tools.json,not_in_repomix,0000000,076f4af
